ano,mes,cod_estado,media_chefia_feminina,valor_medio_recebido
2025,10,17,171526.6666666667,108
2025,10,15,150530.0,108
2025,10,11,110085.5714285714,108
2025,10,27,270270.0,108
2025,10,26,260545.0,108
2025,10,23,230050.0,108
2025,10,22,221170.0,108
2025,10,21,210777.5,108
2025,12,11,110066.9285714286,110
2025,10,31,314791.1111111111,108
2025,12,17,171456.7272727273,110
2025,12,15,150412.5,110
2025,10,35,354160.4615384616,108
2025,12,22,221170.0,110
2025,10,42,420897.475,108
2025,12,21,210918.3333333333,110
2025,10,41,411855.8181818182,108
2025,12,29,293022.3333333333,110
2025,12,28,280345.0,110
2025,12,27,270270.0,110
2025,12,26,260545.0,110
2025,12,24,240826.6666666667,110
2025,12,23,230650.0,110
2025,10,43,431198.8863636364,108
2025,12,33,330245.0,110
2025,12,32,320495.0,110
2025,10,52,521214.8571428572,108
2025,12,31,314132.3541666667,110
2025,10,51,510697.5555555556,108
2025,10,50,500500.0,108
2025,12,35,353097.3333333333,110
2025,12,43,431238.8717948718,110
2025,12,42,421019.038961039,110
2025,12,41,411601.0,110
2025,12,52,521090.4736842105,110
2025,12,51,510629.375,110
2025,12,50,500589.4,110
2025,02,11,110117.5,106
2025,02,17,171328.75,106
2025,02,23,230650.0,106
2025,02,22,220680.5,106
2025,02,21,210470.0,106
2025,02,27,270270.0,106
2025,02,26,260545.0,106
2025,02,24,240480.0,106
2025,04,11,110103.75,108
2025,02,31,314323.3333333333,106
2025,04,17,171328.75,108
2025,02,35,355625.0,106
2025,04,24,240480.0,108
2025,04,23,230650.0,108
2025,02,43,431187.3918918919,106
2025,04,22,220680.5,108
2025,02,42,420867.1034482759,106
2025,04,21,210470.0,108
2025,02,41,411780.9,106
2025,04,27,270270.0,108
2025,04,26,260545.0,108
2025,04,35,355625.0,108
2025,02,52,521230.375,106
2025,06,11,110103.75,108
2025,04,31,314323.3333333333,108
2025,02,51,510650.2,106
2025,06,17,171328.75,108
2025,06,27,270270.0,108
2025,06,26,260545.0,108
2025,06,24,240480.0,108
2025,06,23,230650.0,108
2025,04,43,431180.6202531646,108
2025,06,22,220680.5,108
2025,04,42,420814.3666666666,108
2025,06,21,210470.0,108
2025,04,41,411860.4444444444,108
2025,08,17,171756.0,108
2025,06,35,355625.0,108
2025,04,52,521276.9130434783,108
2025,08,11,110084.8333333333,108
2025,06,31,314349.0,108
2025,04,51,510688.5,108
2025,04,50,500500.0,108
2025,08,27,270270.0,108
2025,08,26,260545.0,108
2025,08,23,230050.0,108
2025,06,43,431180.6202531646,108
2025,08,22,220680.5,108
2025,06,42,420814.3666666666,108
2025,08,21,210470.0,108
2025,06,41,411860.4444444444,108
2025,08,35,353985.0909090909,108
2025,06,52,521230.375,108
2025,08,31,314889.0,108
2025,06,51,510688.5,108
2025,06,50,500500.0,108
2025,08,43,431198.4534883721,108
2025,08,42,420851.6315789474,108
2025,08,41,411813.4,108
2025,08,52,521233.064516129,108
2025,08,51,510711.1111111111,108
2025,08,50,500500.0,108
